Species	Genus	Family	Order	Class	Phylum	Kingdom	Superkingdom
Methanothermobacter thermautotrophicus	Methanothermobacter	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	-	Archaea
Methanocaldococcus jannaschii	Methanocaldococcus	Methanocaldococcaceae	Methanococcales	Methanococci	Euryarchaeota	-	Archaea
Methanosarcina acetivorans	Methanosarcina	Methanosarcinaceae	Methanosarcinales	Methanomicrobia	Euryarchaeota	-	Archaea
Halobacterium salinarum	Halobacterium	Halobacteriaceae	Halobacteriales	Halobacteria	Euryarchaeota	-	Archaea
Thermoplasma acidophilum	Thermoplasma	Thermoplasmataceae	Thermoplasmatales	Thermoplasmata	Euryarchaeota	-	Archaea
Thermoplasma volcanium	Thermoplasma	Thermoplasmataceae	Thermoplasmatales	Thermoplasmata	Euryarchaeota	-	Archaea
Pyrococcus horikoshii	Pyrococcus	Thermococcaceae	Thermococcales	Thermococci	Euryarchaeota	-	Archaea
Pyrococcus abyssi	Pyrococcus	Thermococcaceae	Thermococcales	Thermococci	Euryarchaeota	-	Archaea
Archaeoglobus fulgidus	Archaeoglobus	Archaeoglobaceae	Archaeoglobales	Archaeoglobi	Euryarchaeota	-	Archaea
Methanopyrus kandleri	Methanopyrus	Methanopyraceae	Methanopyrales	Methanopyri	Euryarchaeota	-	Archaea
Pyrobaculum aerophilum	Pyrobaculum	Thermoproteaceae	Thermoproteales	Thermoprotei	Crenarchaeota	-	Archaea
Sulfolobus solfataricus	Sulfolobus	Sulfolobaceae	Sulfolobales	Thermoprotei	Crenarchaeota	-	Archaea
Aeropyrum pernix	Aeropyrum	Desulfurococcaceae	Desulfurococcales	Thermoprotei	Crenarchaeota	-	Archaea
Saccharomyces cerevisiae	Saccharomyces	Saccharomycetaceae	Saccharomycetales	Saccharomycetes	Ascomycota	Fungi	Eukaryota
Schizosaccharomyces pombe	Schizosaccharomyces	Schizosaccharomycetaceae	Schizosaccharomycetales	Schizosaccharomycetes	Ascomycota	Fungi	Eukaryota
-	-	-	-	-	-	-	-
Aquifex aeolicus	Aquifex	Aquificaceae	Aquificales	Aquificae (class)	Aquificae	-	Bacteria
Thermotoga maritima	Thermotoga	Thermotogaceae	Thermotogales	Thermotogae (class)	Thermotogae	-	Bacteria
-	Synechocystis	-	Chroococcales	-	Cyanobacteria	-	Bacteria
Nostoc sp. PCC 7120	Nostoc	Nostocaceae	Nostocales	-	Cyanobacteria	-	Bacteria
Fusobacterium nucleatum	Fusobacterium	Fusobacteriaceae	Fusobacteriales	Fusobacteria (class)	Fusobacteria	-	Bacteria
Deinococcus radiodurans	Deinococcus	Deinococcaceae	Deinococcales	Deinococci	Deinococcus-Thermus	-	Bacteria
Chlamydia trachomatis	Chlamydia	Chlamydiaceae	Chlamydiales	Chlamydiae (class)	Chlamydiae	-	Bacteria
Chlamydophila pneumoniae	Chlamydophila	Chlamydiaceae	Chlamydiales	Chlamydiae (class)	Chlamydiae	-	Bacteria
Treponema pallidum	Treponema	Spirochaetaceae	Spirochaetales	Spirochaetes (class)	Spirochaetes	-	Bacteria
Borrelia burgdorferi	Borrelia	Spirochaetaceae	Spirochaetales	Spirochaetes (class)	Spirochaetes	-	Bacteria
Corynebacterium glutamicum	Corynebacterium	Corynebacteriaceae	Actinomycetales	Actinobacteria (class)	Actinobacteria	-	Bacteria
Mycobacterium tuberculosis	Mycobacterium	Mycobacteriaceae	Actinomycetales	Actinobacteria (class)	Actinobacteria	-	Bacteria
Mycobacterium tuberculosis	Mycobacterium	Mycobacteriaceae	Actinomycetales	Actinobacteria (class)	Actinobacteria	-	Bacteria
Mycobacterium leprae	Mycobacterium	Mycobacteriaceae	Actinomycetales	Actinobacteria (class)	Actinobacteria	-	Bacteria
Clostridium acetobutylicum	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	-	Bacteria
Lactococcus lactis	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	-	Bacteria
Streptococcus pyogenes	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	-	Bacteria
